"Your Name", "Your Name"
"You can't leave this empty.", "You can't leave this empty."
"Your Email", "Your Email"
"Email format is incorrect. Only these characters are allowed: letters, numbers, and some special characters '@', '.', '_'", "Email format is incorrect. Only these characters are allowed: letters, numbers, and some special characters '@', '.', '_'"
"Send To", "Send To"
"Separate each address with a comma", "Separate each address with a comma"
"All emails have to valid.", "All emails have to valid."
"You are going to email the following:", "You are going to email the following:"
"Message subject:", "Message subject:"
"[Your name] has forwarded a page to you from Stone & Strand", "[Your name] has forwarded a page to you from Stone & Strand"
"Message:", "Message:"
"Send a hint", "Send a hint"
"You've Been Sent a Hint","You've Been Sent a Hint"
"View in Person","View in Person"
"ABOUT US","ABOUT US"
"Why We’re Different:","Why We’re Different:"
"SHOP NEW","SHOP NEW"
"SHOP BESTSELLERS","SHOP BESTSELLERS"
"CONTACT US","CONTACT US"
"Call or Visit Us","Call or Visit Us"
"Your name invalid.","Your name invalid."



